NDVI,NDRE,RGB_Damage_Score,N,P,K,Moisture,pH,Temperature,Humidity,Energy_Consumed_mAh,Latency_ms,Cluster_KMeans,Cluster_Agglomerative,Zone_ID,Image_Type,Action_Suggested,PCA1,PCA2,Cluster_Birch
0.79,0.2,0.5,74,22,73,32.16,5.98,40.21,61.06,6.18,84.07,1,0.0,Z2,Multispectral,Irrigate,-0.0959684951362113,0.5544934184612191,0
0.58,0.35,0.11,69,28,53,32.36,7.43,19.22,35.19,3.4,52.67,0,0.0,Z7,RGB,Apply Fertilizer,-0.0059975623055095,0.4614033516021705,1
0.69,0.15,0.5,25,36,24,34.35,6.31,20.53,68.93,8.3,96.53,0,0.0,Z4,Multispectral,Irrigate,0.1629464566307513,-0.3603860469276909,0
0.3,0.23,0.5,33,24,59,31.89,5.62,39.07,84.95,3.98,88.7,1,1.0,Z3,Multispectral,Irrigate,-0.0070996716640343,-0.1457235720684891,0
0.38,0.24,0.5,42,35,94,10.33,5.35,31.93,84.35,5.31,85.87,0,0.0,Z9,Multispectral,Apply Fertilizer,0.3847669568281021,-0.1094123926119968,0
0.58,0.35,0.83,54,23,83,26.45,6.13,25.23,66.55,8.29,82.81,1,0.0,Z9,RGB,Apply Fertilizer,-0.0134564225674759,0.1277177377997516,0
0.45,0.58,0.5,63,9,76,29.73,7.5,34.4,30.57,4.62,37.03,1,0.0,Z9,Multispectral,Apply Fertilizer,-0.3629087021240291,0.4025268829511447,1
0.58,0.35,0.01,48,21,24,23.16,7.87,33.52,76.28,9.92,74.48,1,0.0,Z10,RGB,Monitor,-0.1384698992559026,-0.0582289952232789,0
0.58,0.35,0.85,49,32,78,16.1,7.79,41.79,48.67,6.94,95.07,0,0.0,Z4,RGB,Apply Fertilizer,0.2865512414307544,0.0492509826776689,0
0.75,0.18,0.5,65,43,67,22.29,6.63,23.74,86.58,2.06,90.06,0,0.0,Z3,Multispectral,Apply Pesticide,0.4585622350128481,0.2923200833985896,0
0.58,0.35,0.2,68,34,92,29.45,7.63,29.78,64.99,5.72,77.77,0,0.0,Z9,RGB,Irrigate,0.2989713118237489,0.4358343348233932,0
